target_id	length	eff_length	est_counts	tpm
YAL001C	3483	3434	2628	43.9347
YAL002W	3825	3776	2882	43.8172
YAL003W	621	572	15923	1598.13
YAL005C	1929	1880	167872	5126.28
YAL007C	648	599	1094	104.851
YAL008W	597	548	698	73.1236
YAL009W	780	731	404	31.7283
YAL010C	1482	1433	797	31.9297
YAL011W	1878	1829	723	22.6938
YAL012W	1185	1136	8820	445.731
YAL013W	1218	1169	898	44.1006
YAL014C	768	719	850	67.8692
YAL015C	1200	1151	653	32.5702
YAL016W	1908	1859	5764	178.003
YAL017W	4071	4022	8214	117.245
YAL018C	978	929	12	0.741563
YAL019W	3396	3347	914	15.6774
YAL020C	1002	953	583	35.1203
YAL021C	2514	2465	3827	89.13
YAL022C	1554	1505	1323	50.4668
YAL023C	2280	2231	7433	191.27
YAL024C	4308	4259	965	13.0077
YAL025C	921	872	152	10.0071
YAL026C	4068	4019	3153	45.039
YAL027W	786	737	347	27.0299
YAL028W	1587	1538	1739	64.9121
YAL029C	4416	4367	3042	39.9907
YAL030W	354	305	423	79.6201
YAL031C	2283	2234	2074	53.2976
YAL032C	1140	1091	1027	54.0416
YAL033W	522	473	233	28.2799
YAL034C	1242	1193	2695	129.688
YAL034W-A	870	821	166	11.6077
YAL035W	3009	2960	9461	183.496
YAL036C	1110	1061	737	39.8781
YAL037C-A	93	44	8	10.4381
YAL037W	804	755	49	3.7259
YAL038W	1503	1454	263368	10398.7
YAL039C	810	761	1795	135.414
YAL040C	1743	1694	1743	59.0699
YAL041W	2565	2516	2652	60.5125
YAL042W	1248	1199	4058	194.301
YAL043C	2358	2309	3008	74.7888
YAL044C	513	464	382	47.2637
YAL044W-A	333	284	224	45.2806
YAL046C	357	308	174	32.4325
YAL047C	1869	1820	481	15.1725
YAL048C	1989	1940	874	25.8638
YAL049C	741	692	897	74.4164
YAL051W	3144	3095	1986	36.8384
YAL053W	2352	2303	2323	57.9079
YAL054C	2142	2093	8366	229.473
YAL055W	543	494	275	31.9586
YAL056W	2643	2594	2349	51.9871
YAL058W	1509	1460	579	22.7671
YAL059W	639	590	136	13.2333
YAL060W	1149	1100	8165	426.134
YAL061W	1254	1205	16139	768.904
YAL062W	1374	1325	1120	48.5271
YAL063C	3969	3920	767.62	11.242
YAL063C-A	291	242	8	1.89783
YAL064C-A	381	332	105.646	18.2683
YAL064W	285	236	8	1.94608
YAL064W-B	381	332	44.4315	7.68309
YAL065C	387	338	55.0995	9.35866
YAL067C	1782	1733	57	1.88825
YAL067W-A	228	179	7.88943	2.53032
YAL068C	363	314	9.02493	1.65005
YAR002C-A	660	611	1489	139.906
YAR002W	1620	1571	1153	42.1343
YAR003W	1281	1232	800	37.2788
YAR007C	1866	1817	2015	63.6653
YAR008W	828	779	92	6.78005
YAR009C	3591	3542	16644.8	269.781
YAR010C	1323	1274	7698.31	346.903
YAR014C	2130	2081	1607	44.3329
YAR015W	921	872	1225	80.6496
YAR018C	1308	1259	381	17.3733
YAR019C	2925	2876	1528	30.5012
YAR020C	168	119	41	19.7797
YAR023C	540	491	303	35.4278
YAR027W	708	659	2113	184.076
YAR028W	705	656	341	29.8423
YAR029W	225	176	35	11.4166
YAR031W	897	848	144.099	9.75546
YAR033W	705	656	242.676	21.2376
YAR035C-A	81	32	1	1.79404
YAR035W	2064	2015	781	22.2515
YAR042W	3567	3518	5674	92.5925
YAR050W	4614	4565	759.469	9.55106
YAR064W	300	251	46.2778	10.5848
YAR066W	612	563	73.2083	7.46508
YAR068W	486	437	282.946	37.171
YAR071W	1404	1355	196.672	8.33272
YBL001C	315	266	762	164.458
YBL002W	396	347	3260	539.35
YBL003C	399	350	3531.25	579.219
YBL004W	7482	7433	2224	17.1772
YBL005W	2931	2882	3537	70.4569
YBL005W-A	1323	1274	5386.74	242.739
YBL005W-B	5268	5219	56276.2	619.042
YBL006C	543	494	1515	176.063
YBL007C	3735	3686	14349	223.485
YBL008W	2523	2474	527	12.2291
YBL008W-A	240	191	4	1.20229
YBL009W	2031	1982	382	11.0648
