"","Yorf","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","desc","sig"
"1","YAL001C",2714.44160578363,0.0555198153333077,0.0677692717693699,0.819247630729321,0.412645144657648,0.673023997935413,"TFC3","Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)","P-adj > 0.05"
"2","YAL002W",2855.42281854632,0.156099005329892,0.0756418559546854,2.06365911253428,0.0390500486280738,0.153359708310253,"VPS8","Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif","P-adj > 0.05"
"3","YAL003W",17691.1272839242,-0.377704183134319,0.0841123456432436,-4.49047259645242,7.10653180933239e-06,0.000191620929842159,"EFB1","Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants","P-adj < 0.05"
"4","YAL005C",172658.962778921,-0.00869520113396906,0.0824953345094685,-0.105402338031262,0.916056560919622,0.964682783282697,"SSA1","ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils","P-adj > 0.05"
"5","YAL007C",1173.22620975327,0.0264069100508456,0.0853108085698076,0.309537683366786,0.756912551474193,0.897147213340411,"ERP2","Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication","P-adj > 0.05"
"6","YAL008W",668.651082456438,0.167738655043272,0.0967770902169259,1.73324755546261,0.0830516778272963,0.259485961497183,"FUN14","Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis","P-adj > 0.05"
"7","YAL009W",450.194201793626,0.0171286420843813,0.107983189366391,0.158623228160664,0.873965727072894,0.944250355804466,"SPO7","Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation","P-adj > 0.05"
"8","YAL010C",761.117759617029,0.134868939642251,0.0936448584891792,1.4402172400937,0.149805947129311,0.378743525849467,"MDM10","Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase","P-adj > 0.05"
"9","YAL011W",653.024965141664,0.142554163666078,0.098793619488006,1.44294909332059,0.14903481212206,0.377620223521554,"SWC3","Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae","P-adj > 0.05"
"10","YAL012W",8705.73849514518,-0.100946171524108,0.079667823654815,-1.26708835378117,0.205123699368292,0.461628208512124,"CYS3","Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress","P-adj > 0.05"
"11","YAL013W",933.580689734586,-0.172528133740438,0.0968799578476583,-1.7808444344261,0.0749378681403289,0.2417175121422,"DEP1","Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation","P-adj > 0.05"
"12","YAL014C",886.70429432504,-0.0214777280953994,0.083109832423043,-0.258425838065394,0.796078277772585,0.912324702616613,"SYN8","Endosomal SNARE related to mammalian syntaxin 8","P-adj > 0.05"
"13","YAL015C",634.509079682579,0.0215674137036319,0.0975914309057683,0.220997002538644,0.825094766909751,0.924085983841832,"NTG1","DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase; involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress; required for maintaining mitochondrial genome integrity; NTG1 has a paralog, NTG2, that arose from the whole genome duplication","P-adj > 0.05"
"14","YAL016W",5885.53030615734,0.128565160835885,0.0625309702220929,2.05602376517199,0.0397802255479908,0.155054028799723,"TPD3","Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and transcription by RNA polymerase III","P-adj > 0.05"
"15","YAL017W",8451.29560460341,0.130414348713628,0.0657769428781401,1.98267573722964,0.0474036614360656,0.176692680610134,"PSK1","PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication","P-adj > 0.05"
"16","YAL018C",14.8573821504603,-0.384927133868449,0.679362262571005,-0.566600700503611,0.570985498940717,0.790261508805343,"LDS1","Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds2p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants","P-adj > 0.05"
"17","YAL019W",1030.82214771376,-0.256339016536813,0.0775107419618573,-3.30714182381271,0.000942531598567943,0.00962015025605478,"FUN30","Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate","P-adj < 0.05"
"18","YAL020C",569.83875253712,-0.103630696774633,0.114530740535859,-0.904828662503814,0.365556164463961,0.628871025979864,"ATS1","Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex, Kti11p, and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p","P-adj > 0.05"
"19","YAL021C",3685.64833964122,0.124204112030245,0.0667351342797409,1.86115025272302,0.062722961300092,0.214281813974353,"CCR4","Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening","P-adj > 0.05"
"20","YAL022C",1404.34125296268,-0.0581327777431775,0.0872127078989015,-0.666563155114574,0.505051210493357,0.744672170329473,"FUN26","High affinity, broad selectivity, nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member","P-adj > 0.05"
"21","YAL023C",8013.10650888435,-0.0593125295749793,0.0632883939311216,-0.937178618239716,0.348666686383156,0.612791642664074,"PMT2","Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; acts in a complex with Pmt1p, can instead interact with Pmt5p; antifungal drug target; PMT2 has a paralog, PMT3, that arose from the whole genome duplication","P-adj > 0.05"
"22","YAL024C",991.261480813661,0.0342195887559027,0.0933505338024284,0.366570895334425,0.713939121293779,0.879221126351346,"LTE1","Protein similar to GDP/GTP exchange factors; without detectable GEF activity; required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures","P-adj > 0.05"
"23","YAL025C",119.830579411432,0.378502401827315,0.190114012950322,1.99092321472494,0.0464893295711052,0.174487384780073,"MAK16","Essential nuclear protein; constituent of 66S pre-ribosomal particles; required for maturation of 25S and 5.8S rRNAs; required for maintenance of M1 satellite double-stranded RNA of the L-A virus","P-adj > 0.05"
"24","YAL026C",3176.34407579998,0.12296561110466,0.0755720070202755,1.62713173770374,0.103709121711277,0.299811232639147,"DRS2","Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease","P-adj > 0.05"
"25","YAL027W",339.995995493084,-0.0317417443589259,0.132294889934038,-0.239931749251633,0.810383167285833,0.919239068032783,"SAW1","5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus","P-adj > 0.05"
"26","YAL028W",1765.36680562494,0.0297178744975504,0.0784684684701265,0.378723773726567,0.704892997313112,0.874230752571457,"FRT2","Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+, alkaline pH, or cell wall stress, possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog, FRT1, that arose from the whole genome duplication","P-adj > 0.05"
"27","YAL029C",3065.53846245631,-0.00703362960899277,0.0654089737075334,-0.107533098446745,0.914366068783415,0.963922040029524,"MYO4","Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog, MYO2, that arose from the whole genome duplication","P-adj > 0.05"
